Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
410960,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2015-16,12/01/2015,8.76,
173768,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2013,06/01/2013,10.93,
211891,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2013-14,12/01/2013,13.08,
211993,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2014,06/01/2014,9.26,
334179,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2014-15,12/01/2014,10.57,
547593,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2017,06/01/2017,10.15,
547594,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2017,01/01/2017,8.2,
174244,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2012,12/01/2011,10.15,
334177,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2015,01/01/2015,9.63,
410962,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2016,12/31/2015,8.21,
173122,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2008-09,12/01/2008,14.74,
173190,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2010-11,12/01/2010,14.54,
173700,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2011,06/01/2011,12.15,
605886,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2018,06/01/2018,7.5,
605887,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2017-18,12/01/2017,7.73,
173224,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2011-12,12/01/2011,10.95,
173632,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2009,06/01/2009,11.35,
173734,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2012,06/01/2012,11.02,
174210,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2011,12/01/2010,11.36,
173733,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2012,06/01/2012,9.9,
211890,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2013-14,12/01/2013,11.77,
334176,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2014-15,12/01/2014,8.31,
410959,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2016,12/31/2015,6.78,
173631,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2009,06/01/2009,10.5,
547590,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2017,06/01/2017,8.06,
173665,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2010,06/01/2010,11.41,
174175,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2010,12/01/2009,8.81,
211992,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2014,06/01/2014,7.77,
547591,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2017,01/01/2017,6.76,
547592,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2016-17,12/01/2016,7.02,
173257,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2012-13,12/01/2012,9.71,
334175,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2015,06/01/2015,8.62,
410957,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2015-16,12/01/2015,7.37,
410958,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2016,05/31/2016,7.74,
605885,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2018,01/01/2018,6.35,
173121,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2008-09,12/01/2008,11.83,
173189,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2010-11,12/01/2010,11.62,
174141,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2009,12/01/2008,9.8,
174209,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2011,12/01/2010,9.42,
174243,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2012,12/01/2011,8.37,
174277,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2013,12/01/2012,7.97,
212094,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2014,12/01/2013,8.38,
334174,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2015,01/01/2015,7.56,
547587,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2017,06/01/2017,8.31,
605883,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2018,06/01/2018,7.6,
173155,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2009-10,12/01/2009,9.1,
173223,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2011-12,12/01/2011,8.49,
173699,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2011,06/01/2011,11.09,
173767,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2013,06/01/2013,9.27,
173630,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2009,06/01/2009,10.5,
173766,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2013,06/01/2013,9.42,
605305,386,Ozone (O3),Mean,ppb,UHF34,105106107,South Bronx,Summer 2018,06/01/2018,30.16,
174140,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2009,12/01/2008,9.84,
334171,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2015,01/01/2015,8,
334172,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2015,06/01/2015,8.81,
410955,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2016,05/31/2016,7.94,
174242,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2012,12/01/2011,8.31,
334173,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2014-15,12/01/2014,8.57,
410954,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2015-16,12/01/2015,7.67,
410956,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2016,12/31/2015,6.97,
547588,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2017,01/01/2017,6.94,
605882,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2018,01/01/2018,6.51,
174276,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2013,12/01/2012,8.03,
211991,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2014,06/01/2014,8.04,
173120,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2008-09,12/01/2008,11.81,
173188,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2010-11,12/01/2010,11.81,
173256,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2012-13,12/01/2012,9.73,
173732,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2012,06/01/2012,9.9,
211889,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2013-14,12/01/2013,11.8,
212093,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2014,12/01/2013,8.5,
547589,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2016-17,12/01/2016,7.18,
605884,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2017-18,12/01/2017,7.94,
173154,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2009-10,12/01/2009,9.01,
174174,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2010,12/01/2009,8.77,
334169,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2015,06/01/2015,9.07,
547584,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2017,06/01/2017,8.64,
173222,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2011-12,12/01/2011,8.23,
173664,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2010,06/01/2010,11.48,
173698,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2011,06/01/2011,11.09,
174208,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2011,12/01/2010,9.49,
410953,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,12/31/2015,6.94,
605881,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2017-18,12/01/2017,7.58,
173153,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2009-10,12/01/2009,9.29,
173221,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2011-12,12/01/2011,8.96,
174173,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2010,12/01/2009,9.09,
174207,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2011,12/01/2010,9.72,
547585,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2017,01/01/2017,7.04,
547586,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2016-17,12/01/2016,7.85,
173731,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2012,06/01/2012,9.87,
211990,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2014,06/01/2014,7.99,
334170,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2014-15,12/01/2014,8.82,
410951,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2015-16,12/01/2015,7.43,
605880,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2018,06/01/2018,8.01,
173119,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2008-09,12/01/2008,12.4,
173255,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2012-13,12/01/2012,9.51,
173629,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,06/01/2009,9.96,
173765,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2013,06/01/2013,9.95,
212092,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2014,12/01/2013,8.36,
174241,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2012,12/01/2011,8.58,
174275,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2013,12/01/2012,8.13,
211888,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2013-14,12/01/2013,10.97,
334168,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2015,01/01/2015,8.23,
410952,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2016,05/31/2016,7.47,
605879,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2018,01/01/2018,6.51,
605876,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2018,01/01/2018,8.39,
605877,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2018,06/01/2018,9.53,
173187,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,12/01/2010,12.13,
173663,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2010,06/01/2010,11.31,
173697,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2011,06/01/2011,11.04,
174139,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2009,12/01/2008,9.83,
173118,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2008-09,12/01/2008,14.88,
173186,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2010-11,12/01/2010,14.25,
173254,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2012-13,12/01/2012,12.13,
174172,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2010,12/01/2009,11.28,
410950,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2016,12/31/2015,9.18,
547583,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2016-17,12/01/2016,8.81,
173764,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2013,06/01/2013,11.69,
211887,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2013-14,12/01/2013,13.89,
334165,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2015,01/01/2015,10.21,
334167,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2014-15,12/01/2014,10.61,
410949,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2016,05/31/2016,9.47,
547581,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2017,06/01/2017,10.28,
547582,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2017,01/01/2017,8.68,
605878,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2017-18,12/01/2017,9.82,
173152,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2009-10,12/01/2009,11.18,
173628,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2009,06/01/2009,12.54,
173696,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2011,06/01/2011,12.78,
173730,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2012,06/01/2012,11.76,
173220,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2011-12,12/01/2011,10.86,
173662,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2010,06/01/2010,13.31,
174206,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2011,12/01/2010,11.71,
174274,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2013,12/01/2012,10.44,
212091,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2014,12/01/2013,10.79,
410948,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2015-16,12/01/2015,9.89,
547578,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2017,06/01/2017,11.11,
605874,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2018,06/01/2018,10.8,
174138,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2009,12/01/2008,12.39,
174240,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2012,12/01/2011,10.66,
211989,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2014,06/01/2014,10.43,
334166,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2015,06/01/2015,10.68,
173185,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2010-11,12/01/2010,15.35,
173253,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2012-13,12/01/2012,13.72,
173627,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2009,06/01/2009,13.83,
173763,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2013,06/01/2013,12.93,
174273,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2013,12/01/2012,11.87,
211988,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2014,06/01/2014,11.48,
334164,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2014-15,12/01/2014,11.74,
410945,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2015-16,12/01/2015,10.51,
410946,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Summer 2016,05/31/2016,10.44,
410947,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2016,12/31/2015,10.05,
547579,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2017,01/01/2017,9.61,
547580,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2016-17,12/01/2016,9.74,
174137,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2009,12/01/2008,13.74,
174171,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2010,12/01/2009,12.66,
212090,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2014,12/01/2013,12.08,
605873,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2018,01/01/2018,9.58,
173117,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Winter 2008-09,12/01/2008,16.17,
174205,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,306308,Chelsea-Village,Annual Average 2011,12/01/2010,12.85,
